2022-11-11T19:23:30+08:00
Running ./bin/adt_fast_uset
Run on (16 X 2593.91 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 1280 KiB (x16)
  L3 Unified 43008 KiB (x16)
Load Average: 2.81, 1.08, 0.72
--------------------------------------------------------------------------------------------
Benchmark                                                  Time             CPU   Iterations
--------------------------------------------------------------------------------------------
BenchInsert<fast_vector<uint64_t>>/1                    57.6 ns         39.4 ns     17649710
BenchInsert<fast_vector<uint64_t>>/8                     267 ns          132 ns      5280806
BenchInsert<fast_vector<uint64_t>>/64                   1048 ns          716 ns       967829
BenchInsert<fast_vector<uint64_t>>/512                  5958 ns         5541 ns       125405
BenchInsert<fast_vector<uint64_t>>/1024                12663 ns        10645 ns        65555
BenchInsert<phmap::flat_hash_set<uint64_t>>/1           27.8 ns         23.4 ns     30031102
BenchInsert<phmap::flat_hash_set<uint64_t>>/8            233 ns          116 ns      5974152
BenchInsert<phmap::flat_hash_set<uint64_t>>/64          1157 ns          580 ns      1216327
BenchInsert<phmap::flat_hash_set<uint64_t>>/512         7457 ns         3722 ns       185045
BenchInsert<phmap::flat_hash_set<uint64_t>>/1024        9558 ns         7155 ns        99932
BenchInsert<std::unordered_set<uint64_t>>/1              140 ns          131 ns      5385931
BenchInsert<std::unordered_set<uint64_t>>/8              660 ns          328 ns      2164248
BenchInsert<std::unordered_set<uint64_t>>/64            2413 ns         2232 ns       316644
BenchInsert<std::unordered_set<uint64_t>>/512          28801 ns        26079 ns        26846
BenchInsert<std::unordered_set<uint64_t>>/1024        105856 ns        52574 ns        13484
BenchInsert<ska::flat_hash_set<uint64_t>>/1              107 ns         53.3 ns     13222265
BenchInsert<ska::flat_hash_set<uint64_t>>/8              366 ns          181 ns      3859028
BenchInsert<ska::flat_hash_set<uint64_t>>/64            2293 ns         1209 ns       566928
BenchInsert<ska::flat_hash_set<uint64_t>>/512          11822 ns         9008 ns        77681
BenchInsert<ska::flat_hash_set<uint64_t>>/1024         19225 ns        18233 ns        39120
BenchInsert<ska::bytell_hash_set<uint64_t>>/1           56.4 ns         55.1 ns     12745318
BenchInsert<ska::bytell_hash_set<uint64_t>>/8            220 ns          190 ns      3603225
BenchInsert<ska::bytell_hash_set<uint64_t>>/64          1367 ns         1335 ns       524476
BenchInsert<ska::bytell_hash_set<uint64_t>>/512        18508 ns        10143 ns        69360
BenchInsert<ska::bytell_hash_set<uint64_t>>/1024       40346 ns        20224 ns        34624
BenchInsert<tsl::robin_set<uint64_t>>/1                 52.2 ns         49.9 ns     14029349
BenchInsert<tsl::robin_set<uint64_t>>/8                  212 ns          209 ns      3349757
