2022-11-11T19:25:19+08:00
Running ./bin/fast_unset
Run on (16 X 2593.91 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 1280 KiB (x16)
  L3 Unified 43008 KiB (x16)
Load Average: 15.48, 6.53, 2.76
-------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations
-------------------------------------------------------------------------------------------
BenchInsert<fast_vector<uint64_t>>/1                   39.6 ns         39.6 ns     17675697
BenchInsert<fast_vector<uint64_t>>/8                    128 ns          128 ns      5430433
BenchInsert<fast_vector<uint64_t>>/64                   718 ns          718 ns       967126
BenchInsert<fast_vector<uint64_t>>/512                 5327 ns         5325 ns       130150
BenchInsert<fast_vector<uint64_t>>/1024               10369 ns        10367 ns        67710
BenchInsert<std::unordered_set<uint64_t>>/1             131 ns          131 ns      5381341
BenchInsert<std::unordered_set<uint64_t>>/8             329 ns          329 ns      2140981
BenchInsert<std::unordered_set<uint64_t>>/64           2242 ns         2242 ns       312224
BenchInsert<std::unordered_set<uint64_t>>/512         26262 ns        26255 ns        26662
BenchInsert<std::unordered_set<uint64_t>>/1024        52152 ns        52138 ns        13404
BenchInsert<ska::flat_hash_set<uint64_t>>/1            53.4 ns         53.4 ns     12729315
BenchInsert<ska::flat_hash_set<uint64_t>>/8             179 ns          179 ns      3893414
BenchInsert<ska::flat_hash_set<uint64_t>>/64           1212 ns         1211 ns       582716
BenchInsert<ska::flat_hash_set<uint64_t>>/512          9024 ns         9023 ns        77420
BenchInsert<ska::flat_hash_set<uint64_t>>/1024        17910 ns        17905 ns        39137
BenchInsert<ska::bytell_hash_set<uint64_t>>/1          54.8 ns         54.7 ns     12756654
BenchInsert<ska::bytell_hash_set<uint64_t>>/8           189 ns          189 ns      3716328
BenchInsert<ska::bytell_hash_set<uint64_t>>/64         1323 ns         1323 ns       528432
BenchInsert<ska::bytell_hash_set<uint64_t>>/512       10023 ns        10020 ns        69564
BenchInsert<ska::bytell_hash_set<uint64_t>>/1024      19934 ns        19934 ns        35105
BenchInsert<tsl::robin_set<uint64_t>>/1                51.9 ns         51.8 ns     13566705
BenchInsert<tsl::robin_set<uint64_t>>/8                 209 ns          209 ns      3343860
BenchInsert<tsl::robin_set<uint64_t>>/64               1482 ns         1482 ns       472325
BenchInsert<tsl::robin_set<uint64_t>>/512             11053 ns        11053 ns        63373
BenchInsert<tsl::robin_set<uint64_t>>/1024            22661 ns        22660 ns        31048
