2022-11-12T14:41:01+08:00
Running ./bin/adt_fast_set
Run on (8 X 50 MHz CPU s)
Load Average: 6.39, 2.49, 2.40
----------------------------------------------------------------------------------------------------------
Benchmark                                                                Time             CPU   Iterations
----------------------------------------------------------------------------------------------------------
BenchInsert<fast_vector<uint32_t, uint32_t>>/1                        1230 ns         1229 ns       567557
BenchInsert<fast_vector<uint32_t, uint32_t>>/8                       10210 ns        10203 ns        68475
BenchInsert<fast_vector<uint32_t, uint32_t>>/64                      78576 ns        78518 ns         8915
BenchInsert<fast_vector<uint32_t, uint32_t>>/512                    618328 ns       617853 ns         1131
BenchInsert<fast_vector<uint32_t, uint32_t>>/1024                  1236372 ns      1235402 ns          566
BenchInsert<phmap::flat_hash_set<uint64_t>>/1                          697 ns          697 ns      1006340
BenchInsert<phmap::flat_hash_set<uint64_t>>/8                         6044 ns         6040 ns       115910
BenchInsert<phmap::flat_hash_set<uint64_t>>/64                       48045 ns        48010 ns        14585
BenchInsert<phmap::flat_hash_set<uint64_t>>/512                     381481 ns       381209 ns         1836
BenchInsert<phmap::flat_hash_set<uint64_t>>/1024                    762957 ns       762381 ns          919
BenchInsert<llvm::SetVector<uint64_t>>/1                              1048 ns         1047 ns       668075
BenchInsert<llvm::SetVector<uint64_t>>/8                              2933 ns         2931 ns       239492
BenchInsert<llvm::SetVector<uint64_t>>/64                            28522 ns        19211 ns        37097
BenchInsert<llvm::SetVector<uint64_t>>/512                          262548 ns       171725 ns         4194
BenchInsert<llvm::SetVector<uint64_t>>/1024                         334713 ns       334567 ns         2081
BenchInsert<tsl::ordered_set<uint64_t, PodHash, PodEqual>>/1           810 ns          809 ns       866754
BenchInsert<tsl::ordered_set<uint64_t, PodHash, PodEqual>>/8          4730 ns         4721 ns       148443
BenchInsert<tsl::ordered_set<uint64_t, PodHash, PodEqual>>/64        29408 ns        29402 ns        23790
BenchInsert<tsl::ordered_set<uint64_t, PodHash, PodEqual>>/512      224664 ns       224620 ns         3109
BenchInsert<tsl::ordered_set<uint64_t, PodHash, PodEqual>>/1024     451914 ns       451213 ns         1554
BenchFind<fast_vector<uint32_t, uint32_t>>/1                           170 ns          170 ns      4148411
BenchFind<fast_vector<uint32_t, uint32_t>>/8                           172 ns          172 ns      4070624
BenchFind<fast_vector<uint32_t, uint32_t>>/64                          172 ns          172 ns      4067998
BenchFind<fast_vector<uint32_t, uint32_t>>/512                         176 ns          176 ns      3989762
BenchFind<fast_vector<uint32_t, uint32_t>>/1024                        178 ns          178 ns      3968003
BenchFind<phmap::flat_hash_set<uint64_t>>/1                            150 ns          150 ns      4658883
BenchFind<phmap::flat_hash_set<uint64_t>>/8                            152 ns          152 ns      4595923
BenchFind<phmap::flat_hash_set<uint64_t>>/64                           156 ns          156 ns      4568442
BenchFind<phmap::flat_hash_set<uint64_t>>/512                          153 ns          153 ns      4531468
