2022-11-12T14:43:05+08:00
Running ./bin/adt_fast_uset
Run on (8 X 50 MHz CPU s)
Load Average: 7.99, 4.49, 3.15
--------------------------------------------------------------------------------------------
Benchmark                                                  Time             CPU   Iterations
--------------------------------------------------------------------------------------------
BenchInsert<fast_vector<uint64_t>>/1                    1159 ns         1155 ns       605508
BenchInsert<fast_vector<uint64_t>>/8                    6313 ns         6309 ns       111007
BenchInsert<fast_vector<uint64_t>>/64                  47201 ns        47188 ns        14808
BenchInsert<fast_vector<uint64_t>>/512                373962 ns       373843 ns         1871
BenchInsert<fast_vector<uint64_t>>/1024               741929 ns       741379 ns          946
BenchInsert<phmap::flat_hash_set<uint64_t>>/1            662 ns          662 ns      1057727
BenchInsert<phmap::flat_hash_set<uint64_t>>/8           3374 ns         3373 ns       207456
BenchInsert<phmap::flat_hash_set<uint64_t>>/64         24728 ns        24721 ns        28310
BenchInsert<phmap::flat_hash_set<uint64_t>>/512       194706 ns       194651 ns         3594
BenchInsert<phmap::flat_hash_set<uint64_t>>/1024      388997 ns       388888 ns         1801
BenchInsert<std::unordered_set<uint64_t>>/1              555 ns          553 ns      1269171
BenchInsert<std::unordered_set<uint64_t>>/8             2550 ns         2549 ns       274206
BenchInsert<std::unordered_set<uint64_t>>/64           18651 ns        18594 ns        37680
BenchInsert<std::unordered_set<uint64_t>>/512         156883 ns       156394 ns         4479
BenchInsert<std::unordered_set<uint64_t>>/1024        313563 ns       313371 ns         2237
BenchInsert<ska::flat_hash_set<uint64_t>>/1              340 ns          340 ns      2058741
BenchInsert<ska::flat_hash_set<uint64_t>>/8             1202 ns         1201 ns       581861
BenchInsert<ska::flat_hash_set<uint64_t>>/64            7825 ns         7819 ns        89500
BenchInsert<ska::flat_hash_set<uint64_t>>/512          60398 ns        60377 ns        11596
BenchInsert<ska::flat_hash_set<uint64_t>>/1024        120588 ns       120544 ns         5804
BenchInsert<ska::bytell_hash_set<uint64_t>>/1            446 ns          419 ns      1670252
BenchInsert<ska::bytell_hash_set<uint64_t>>/8           1697 ns         1659 ns       422224
BenchInsert<ska::bytell_hash_set<uint64_t>>/64         12166 ns        11829 ns        59158
BenchInsert<ska::bytell_hash_set<uint64_t>>/512        99269 ns        92355 ns         7587
BenchInsert<ska::bytell_hash_set<uint64_t>>/1024      184257 ns       184239 ns         3796
BenchInsert<tsl::robin_set<uint64_t>>/1                 1080 ns          769 ns       912373
BenchInsert<tsl::robin_set<uint64_t>>/8                 1965 ns         1953 ns       358308
BenchInsert<tsl::robin_set<uint64_t>>/64               11445 ns        10905 ns        64220
BenchInsert<tsl::robin_set<uint64_t>>/512              84706 ns        82428 ns         8477
BenchInsert<tsl::robin_set<uint64_t>>/1024            166891 ns       164184 ns         4263
BenchInsertVecSet<llvm::SetVector<uint64_t>>/1          1125 ns         1093 ns       639255
BenchInsertVecSet<llvm::SetVector<uint64_t>>/8          3352 ns         2972 ns       235482
BenchInsertVecSet<llvm::SetVector<uint64_t>>/64        18783 ns        18773 ns        37240
BenchInsertVecSet<llvm::SetVector<uint64_t>>/512      166457 ns       166304 ns         4206
BenchInsertVecSet<llvm::SetVector<uint64_t>>/1024     333547 ns       333362 ns         2101
BenchFind<fast_vector<uint64_t>>/1                       176 ns          176 ns      3984247
BenchFind<fast_vector<uint64_t>>/8                       179 ns          179 ns      3917202
BenchFind<fast_vector<uint64_t>>/64                      181 ns          181 ns      3894354
BenchFind<fast_vector<uint64_t>>/512                     184 ns          184 ns      3822367
BenchFind<fast_vector<uint64_t>>/1024                    185 ns          185 ns      3765314
BenchFind<phmap::flat_hash_set<uint64_t>>/1              153 ns          153 ns      4584473
BenchFind<phmap::flat_hash_set<uint64_t>>/8              153 ns          153 ns      4572850
BenchFind<phmap::flat_hash_set<uint64_t>>/64             153 ns          153 ns      4492213
BenchFind<phmap::flat_hash_set<uint64_t>>/512            155 ns          155 ns      4524881
BenchFind<phmap::flat_hash_set<uint64_t>>/1024           156 ns          156 ns      4470386
BenchFind<std::unordered_set<uint64_t>>/1               84.4 ns         84.3 ns      8259509
BenchFind<std::unordered_set<uint64_t>>/8                117 ns          117 ns      5974089
BenchFind<std::unordered_set<uint64_t>>/64               137 ns          137 ns      5146192
BenchFind<std::unordered_set<uint64_t>>/512              135 ns          135 ns      5201918
BenchFind<std::unordered_set<uint64_t>>/1024             138 ns          138 ns      5081018
BenchFind<ska::flat_hash_set<uint64_t>>/1               56.4 ns         56.3 ns     12488582
BenchFind<ska::flat_hash_set<uint64_t>>/8               57.7 ns         57.7 ns     12380922
BenchFind<ska::flat_hash_set<uint64_t>>/64              62.1 ns         62.1 ns     11187070
BenchFind<ska::flat_hash_set<uint64_t>>/512             60.6 ns         60.6 ns     11539197
