2022-11-12T14:41:54+08:00
Running ./bin/fast_unset
Run on (8 X 50 MHz CPU s)
Load Average: 7.70, 3.45, 2.73
-------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations
-------------------------------------------------------------------------------------------
BenchInsert<fast_vector<uint64_t>>/1                   1116 ns         1115 ns       629810
BenchInsert<fast_vector<uint64_t>>/8                   6015 ns         6015 ns       115930
BenchInsert<fast_vector<uint64_t>>/64                 44739 ns        44736 ns        15638
BenchInsert<fast_vector<uint64_t>>/512               353105 ns       353077 ns         1972
BenchInsert<fast_vector<uint64_t>>/1024              709105 ns       709047 ns          980
BenchInsert<std::unordered_set<uint64_t>>/1             540 ns          539 ns      1298308
BenchInsert<std::unordered_set<uint64_t>>/8            2564 ns         2564 ns       273164
BenchInsert<std::unordered_set<uint64_t>>/64          18877 ns        18875 ns        37090
BenchInsert<std::unordered_set<uint64_t>>/512        158460 ns       158444 ns         4421
BenchInsert<std::unordered_set<uint64_t>>/1024       317784 ns       317756 ns         2203
BenchInsert<ska::flat_hash_set<uint64_t>>/1             344 ns          344 ns      2031888
BenchInsert<ska::flat_hash_set<uint64_t>>/8            1192 ns         1192 ns       587035
BenchInsert<ska::flat_hash_set<uint64_t>>/64           7761 ns         7760 ns        90224
BenchInsert<ska::flat_hash_set<uint64_t>>/512         59875 ns        59870 ns        11701
BenchInsert<ska::flat_hash_set<uint64_t>>/1024       119257 ns       119246 ns         5869
BenchInsert<ska::bytell_hash_set<uint64_t>>/1           427 ns          427 ns      1641339
BenchInsert<ska::bytell_hash_set<uint64_t>>/8          1693 ns         1693 ns       413306
BenchInsert<ska::bytell_hash_set<uint64_t>>/64        12012 ns        12010 ns        58278
BenchInsert<ska::bytell_hash_set<uint64_t>>/512       93893 ns        93885 ns         7459
BenchInsert<ska::bytell_hash_set<uint64_t>>/1024     187132 ns       187114 ns         3746
BenchInsert<tsl::robin_set<uint64_t>>/1                 765 ns          765 ns       916176
BenchInsert<tsl::robin_set<uint64_t>>/8                1955 ns         1955 ns       356683
BenchInsert<tsl::robin_set<uint64_t>>/64              10712 ns        10711 ns        65437
BenchInsert<tsl::robin_set<uint64_t>>/512             80435 ns        80428 ns         8704
BenchInsert<tsl::robin_set<uint64_t>>/1024           160085 ns       160070 ns         4375
BenchFind<fast_vector<uint64_t>>/1                      172 ns          172 ns      4077606
BenchFind<fast_vector<uint64_t>>/8                      174 ns          174 ns      4004955
BenchFind<fast_vector<uint64_t>>/64                     175 ns          175 ns      3975875
BenchFind<fast_vector<uint64_t>>/512                    179 ns          179 ns      3957944
