1
0
1
0
0
1
2022-11-12T14:42:44+08:00
Running ./bin/sorted_pod
Run on (8 X 50 MHz CPU s)
Load Average: 7.98, 4.18, 3.02
-----------------------------------------------------------------------------------------------------------------
Benchmark                                                                       Time             CPU   Iterations
-----------------------------------------------------------------------------------------------------------------
BenchInsertPod<std::vector<NonPod>>/2                                         414 ns          413 ns      1691585
BenchInsertPod<std::vector<NonPod>>/8                                        1262 ns         1261 ns       554903
BenchInsertPod<std::vector<NonPod>>/64                                       6032 ns         6029 ns       116173
BenchInsertPod<std::vector<NonPod>>/512                                     38375 ns        38363 ns        18249
BenchInsertPod<std::vector<NonPod>>/4096                                   290752 ns       289586 ns         2419
BenchInsertPod<std::vector<NonPod>>/32768                                 2421736 ns      2418494 ns          290
BenchInsertPod<std::vector<NonPod>>/65536                                 4963164 ns      4954376 ns          141
BenchInsertPod<std::vector<Pod>>/2                                            424 ns          420 ns      1667589
BenchInsertPod<std::vector<Pod>>/8                                           1056 ns         1056 ns       663352
BenchInsertPod<std::vector<Pod>>/64                                          4150 ns         4147 ns       168834
BenchInsertPod<std::vector<Pod>>/512                                        24396 ns        24389 ns        28725
BenchInsertPod<std::vector<Pod>>/4096                                      180547 ns       180486 ns         3876
BenchInsertPod<std::vector<Pod>>/32768                                    1425844 ns      1424907 ns          491
BenchInsertPod<std::vector<Pod>>/65536                                    3189241 ns      3182575 ns          219
BenchInsertPod<std::vector<TriviallyCopy>>/2                                  480 ns          479 ns      1460034
BenchInsertPod<std::vector<TriviallyCopy>>/8                                 1206 ns         1205 ns       579956
BenchInsertPod<std::vector<TriviallyCopy>>/64                                5087 ns         5084 ns       137710
BenchInsertPod<std::vector<TriviallyCopy>>/512                              30878 ns        30867 ns        22665
BenchInsertPod<std::vector<TriviallyCopy>>/4096                            234709 ns       234511 ns         2985
BenchInsertPod<std::vector<TriviallyCopy>>/32768                          3273838 ns      3265121 ns          215
BenchInsertPod<std::vector<TriviallyCopy>>/65536                          6205775 ns      6186059 ns          114
BenchInsertPod<std::vector<NoTriviallyCopy>>/2                                455 ns          455 ns      1541825
BenchInsertPod<std::vector<NoTriviallyCopy>>/8                               1379 ns         1377 ns       508826
BenchInsertPod<std::vector<NoTriviallyCopy>>/64                              7094 ns         7088 ns        98757
BenchInsertPod<std::vector<NoTriviallyCopy>>/512                            46125 ns        46076 ns        15195
BenchInsertPod<std::vector<NoTriviallyCopy>>/4096                          352037 ns       351501 ns         1992
BenchInsertPod<std::vector<NoTriviallyCopy>>/32768                        2839311 ns      2832460 ns          247
BenchInsertPod<std::vector<NoTriviallyCopy>>/65536                        8055735 ns      8029144 ns           88
BenchInsertPod<std::vector<std::pair<int, TriviallyCopy>>>/2                  478 ns          477 ns      1468675
BenchInsertPod<std::vector<std::pair<int, TriviallyCopy>>>/8                 1429 ns         1428 ns       490054
BenchInsertPod<std::vector<std::pair<int, TriviallyCopy>>>/64                7269 ns         7264 ns        96400
BenchInsertPod<std::vector<std::pair<int, TriviallyCopy>>>/512              47045 ns        46988 ns        14897
BenchInsertPod<std::vector<std::pair<int, TriviallyCopy>>>/4096            359390 ns       358724 ns         1952
BenchInsertPod<std::vector<std::pair<int, TriviallyCopy>>>/32768          2923325 ns      2916037 ns          241
BenchInsertPod<std::vector<std::pair<int, TriviallyCopy>>>/65536          8026990 ns      8002036 ns           89
BenchInsertPod<std::vector<std::pair<const int, TriviallyCopy>>>/2            478 ns          475 ns      1476104
BenchInsertPod<std::vector<std::pair<const int, TriviallyCopy>>>/8           1425 ns         1424 ns       491319
BenchInsertPod<std::vector<std::pair<const int, TriviallyCopy>>>/64          7264 ns         7250 ns        96575
BenchInsertPod<std::vector<std::pair<const int, TriviallyCopy>>>/512        46993 ns        46945 ns        14902
BenchInsertPod<std::vector<std::pair<const int, TriviallyCopy>>>/4096      379763 ns       358429 ns         1955
BenchInsertPod<std::vector<std::pair<const int, TriviallyCopy>>>/32768    2914944 ns      2912665 ns          240
BenchInsertPod<std::vector<std::pair<const int, TriviallyCopy>>>/65536    8075203 ns      8053242 ns           87
BenchUninitializedCopy<NonPod>/2                                             92.8 ns         73.6 ns      9517832
BenchUninitializedCopy<NonPod>/8                                              178 ns          178 ns      3931346
BenchUninitializedCopy<NonPod>/64                                            1319 ns         1106 ns       633049
BenchUninitializedCopy<NonPod>/512                                           9162 ns         8727 ns        81819
BenchUninitializedCopy<NonPod>/4096                                         67851 ns        67851 ns        10233
