2023-06-11T21:31:35+08:00
Running ./bin/adt_fast_map
Run on (8 X 2904 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 5.92, 4.93, 3.06
---------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                             Time             CPU   Iterations
---------------------------------------------------------------------------------------------------------------------------------------
BenchInsert<fast_vector_map<uint64_t, uint64_t>>/1024                                             19489 ns        19494 ns        35964
BenchInsert<fast_vector_map<uint64_t, uint64_t>>/4096                                            110653 ns       110595 ns         6853
BenchInsert<fast_vector_map<uint64_t, uint64_t>>/32768                                           868323 ns       867039 ns          831
BenchInsert<fast_vector_map<uint64_t, uint64_t>>/262144                                         8882314 ns      8867781 ns           76
BenchInsert<fast_vector_map<uint64_t, uint64_t>>/1048576                                       56126997 ns     56014937 ns           12
BenchInsert<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/1024         16188 ns        16147 ns        47240
BenchInsert<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/4096         65897 ns        65699 ns        12232
BenchInsert<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/32768       726414 ns       723702 ns          852
BenchInsert<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/262144    18635168 ns     18565848 ns           36
BenchInsert<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/1048576   87414414 ns     87041179 ns            8
BenchInsert<llvm::MapVector<uint64_t, uint64_t>>/1024                                             16703 ns        16633 ns        43057
BenchInsert<llvm::MapVector<uint64_t, uint64_t>>/4096                                             66903 ns        66607 ns         9823
BenchInsert<llvm::MapVector<uint64_t, uint64_t>>/32768                                           610428 ns       607371 ns          945
BenchInsert<llvm::MapVector<uint64_t, uint64_t>>/262144                                         8017158 ns      7978541 ns          100
BenchInsert<llvm::MapVector<uint64_t, uint64_t>>/1048576                                       68192081 ns     67847679 ns            8
BenchFind<fast_vector_map<uint64_t, uint64_t>>/1024                                                10.3 ns         10.2 ns     71251749
BenchFind<fast_vector_map<uint64_t, uint64_t>>/4096                                                10.9 ns         10.9 ns     59272502
BenchFind<fast_vector_map<uint64_t, uint64_t>>/32768                                               11.6 ns         11.6 ns     57038542
BenchFind<fast_vector_map<uint64_t, uint64_t>>/262144                                              19.5 ns         19.4 ns     27649913
BenchFind<fast_vector_map<uint64_t, uint64_t>>/1048576                                             62.9 ns         62.5 ns     12956379
BenchFind<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/1024            24.5 ns         24.3 ns     29683910
BenchFind<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/4096            26.9 ns         26.7 ns     26659852
