2023-06-11T21:33:55+08:00
Running ./bin/adt_fast_uset
Run on (8 X 2904 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 4.25, 4.63, 3.22
--------------------------------------------------------------------------------------------
Benchmark                                                  Time             CPU   Iterations
--------------------------------------------------------------------------------------------
BenchInsert<fast_vector<uint64_t>>/1                    46.2 ns         46.0 ns     15487903
BenchInsert<fast_vector<uint64_t>>/8                     149 ns          148 ns      4446938
BenchInsert<fast_vector<uint64_t>>/64                    951 ns          946 ns       719418
BenchInsert<fast_vector<uint64_t>>/512                  7590 ns         7547 ns        97430
BenchInsert<fast_vector<uint64_t>>/1024                14823 ns        14735 ns        51874
BenchInsert<phmap::flat_hash_set<uint64_t>>/1           27.2 ns         27.1 ns     25895714
BenchInsert<phmap::flat_hash_set<uint64_t>>/8           92.6 ns         92.1 ns      7953138
BenchInsert<phmap::flat_hash_set<uint64_t>>/64           513 ns          510 ns      1392244
BenchInsert<phmap::flat_hash_set<uint64_t>>/512         4052 ns         4027 ns       181059
BenchInsert<phmap::flat_hash_set<uint64_t>>/1024        7385 ns         7338 ns        99967
BenchInsert<std::unordered_set<uint64_t>>/1             61.9 ns         61.5 ns      9678926
BenchInsert<std::unordered_set<uint64_t>>/8              363 ns          360 ns      1892909
BenchInsert<std::unordered_set<uint64_t>>/64            3113 ns         3131 ns       216487
BenchInsert<std::unordered_set<uint64_t>>/512          31767 ns        32398 ns        22373
BenchInsert<std::unordered_set<uint64_t>>/1024         63250 ns        64347 ns        11430
BenchInsert<ska::flat_hash_set<uint64_t>>/1             55.3 ns         56.1 ns      9907103
BenchInsert<ska::flat_hash_set<uint64_t>>/8              197 ns          199 ns      3740563
BenchInsert<ska::flat_hash_set<uint64_t>>/64            1214 ns         1226 ns       566675
BenchInsert<ska::flat_hash_set<uint64_t>>/512           9193 ns         9261 ns        78290
BenchInsert<ska::flat_hash_set<uint64_t>>/1024         18131 ns        18233 ns        40243
BenchInsert<ska::bytell_hash_set<uint64_t>>/1           50.0 ns         50.3 ns     12899883
BenchInsert<ska::bytell_hash_set<uint64_t>>/8            190 ns          190 ns      3628216
BenchInsert<ska::bytell_hash_set<uint64_t>>/64          1444 ns         1447 ns       513859
BenchInsert<ska::bytell_hash_set<uint64_t>>/512        10991 ns        11005 ns        65059
BenchInsert<ska::bytell_hash_set<uint64_t>>/1024       22577 ns        22584 ns        31320
BenchInsert<tsl::robin_set<uint64_t>>/1                 60.5 ns         60.4 ns     12813133
BenchInsert<tsl::robin_set<uint64_t>>/8                  187 ns          186 ns      3754490
BenchInsert<tsl::robin_set<uint64_t>>/64                1219 ns         1217 ns       548376
BenchInsert<tsl::robin_set<uint64_t>>/512               9646 ns         9622 ns        78299
BenchInsert<tsl::robin_set<uint64_t>>/1024             19139 ns        19079 ns        38807
BenchInsertVecSet<llvm::SetVector<uint64_t>>/1          38.3 ns         38.1 ns     19507545
BenchInsertVecSet<llvm::SetVector<uint64_t>>/8           118 ns          117 ns      6224590
BenchInsertVecSet<llvm::SetVector<uint64_t>>/64         1162 ns         1157 ns       585029
BenchInsertVecSet<llvm::SetVector<uint64_t>>/512       12541 ns        12485 ns        55105
BenchInsertVecSet<llvm::SetVector<uint64_t>>/1024      28083 ns        27948 ns        25749
BenchFind<fast_vector<uint64_t>>/1                      3.38 ns         3.36 ns    185057035
BenchFind<fast_vector<uint64_t>>/8                      3.88 ns         3.86 ns    178171198
BenchFind<fast_vector<uint64_t>>/64                     5.01 ns         4.98 ns    176493832
BenchFind<fast_vector<uint64_t>>/512                    4.15 ns         4.12 ns    173071610
BenchFind<fast_vector<uint64_t>>/1024                   4.04 ns         4.02 ns    130907657
BenchFind<phmap::flat_hash_set<uint64_t>>/1             3.09 ns         3.07 ns    226487855
BenchFind<phmap::flat_hash_set<uint64_t>>/8             3.75 ns         3.73 ns    201120881
BenchFind<phmap::flat_hash_set<uint64_t>>/64            4.15 ns         4.13 ns    148998406
BenchFind<phmap::flat_hash_set<uint64_t>>/512           4.15 ns         4.12 ns    161844849
