2023-06-11T21:30:48+08:00
Running ./bin/adt_map_reserve
Run on (8 X 2904 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 8.43, 5.11, 3.01
-------------------------------------------------------------------------------------------------------
Benchmark                                                             Time             CPU   Iterations
-------------------------------------------------------------------------------------------------------
BM_reserve<std::unordered_map<int, int>>/1024                     44148 ns        43904 ns        14986
BM_reserve<std::unordered_map<int, int>>/4096                    188678 ns       187610 ns         3922
BM_reserve<std::unordered_map<int, int>>/32768                  1470639 ns      1462251 ns          527
BM_reserve<std::unordered_map<int, int>>/262144                10414760 ns     10354507 ns           62
BM_reserve<std::unordered_map<int, int>>/1048576               42366722 ns     42120689 ns           13
BM_reserve<ska::unordered_map<int, int>>/1024                     35442 ns        36192 ns        19539
BM_reserve<ska::unordered_map<int, int>>/4096                    137447 ns       139920 ns         4301
BM_reserve<ska::unordered_map<int, int>>/32768                  1691247 ns      1716236 ns          365
BM_reserve<ska::unordered_map<int, int>>/262144                80493757 ns     81552486 ns            8
BM_reserve<ska::unordered_map<int, int>>/1048576              534273220 ns    539794794 ns            2
BM_reserve<ska::flat_hash_map<int, int>>/1024                      7015 ns         7065 ns       109260
BM_reserve<ska::flat_hash_map<int, int>>/4096                     28229 ns        28399 ns        23366
BM_reserve<ska::flat_hash_map<int, int>>/32768                   303248 ns       304598 ns         2376
BM_reserve<ska::flat_hash_map<int, int>>/262144                 6925297 ns      6949228 ns           92
BM_reserve<ska::flat_hash_map<int, int>>/1048576               52160257 ns     52317075 ns           10
BM_reserve<ska::bytell_hash_map<int, int>>/1024                    8168 ns         8183 ns        84445
BM_reserve<ska::bytell_hash_map<int, int>>/4096                   33857 ns        33882 ns        22533
BM_reserve<ska::bytell_hash_map<int, int>>/32768                 351810 ns       351758 ns         1919
BM_reserve<ska::bytell_hash_map<int, int>>/262144               3500185 ns      3496643 ns          212
BM_reserve<ska::bytell_hash_map<int, int>>/1048576             46131790 ns     46046644 ns           16
BM_reserve<phmap::flat_hash_map<int, int>>/1024                    8976 ns         8955 ns        83106
BM_reserve<phmap::flat_hash_map<int, int>>/4096                   38219 ns        38107 ns        19634
BM_reserve<phmap::flat_hash_map<int, int>>/32768                 502050 ns       500432 ns         1000
BM_reserve<phmap::flat_hash_map<int, int>>/262144               5231260 ns      5212226 ns          143
BM_reserve<phmap::flat_hash_map<int, int>>/1048576             33165328 ns     33031795 ns           22
BM_reserve<robin_hood::unordered_flat_map<int, int>>/1024          8606 ns         8569 ns        88256
BM_reserve<robin_hood::unordered_flat_map<int, int>>/4096         44434 ns        44229 ns        16815
BM_reserve<robin_hood::unordered_flat_map<int, int>>/32768       457852 ns       455603 ns         1428
BM_reserve<robin_hood::unordered_flat_map<int, int>>/262144     6053397 ns      6023071 ns          100
BM_reserve<robin_hood::unordered_flat_map<int, int>>/1048576   41128053 ns     40913171 ns           17
BM_reserve<spp::sparse_hash_map<int, int>>/1024                   44397 ns        44160 ns        12427
BM_reserve<spp::sparse_hash_map<int, int>>/4096                  187678 ns       186649 ns         4303
BM_reserve<spp::sparse_hash_map<int, int>>/32768                1566113 ns      1557301 ns          497
BM_reserve<spp::sparse_hash_map<int, int>>/262144              18224897 ns     18120511 ns           44
BM_reserve<spp::sparse_hash_map<int, int>>/1048576             91935884 ns     91400313 ns            8
BM_reserve<tsl::bhopscotch_map<int, int>>/1024                    13472 ns        13393 ns        52345
BM_reserve<tsl::bhopscotch_map<int, int>>/4096                    55400 ns        55073 ns        13660
BM_reserve<tsl::bhopscotch_map<int, int>>/32768                  449535 ns       446842 ns         1649
