user cpu : 0s 273995us
sys cpu : 0s 39909us
max rss : 90044 kb / 87.9336 MB
page reclaims : 27218
page faults : 0
voluntary switches : 0
involuntary switches : 0

user cpu : 0s 25170us
sys cpu : 0s 3959us
max rss : 32736 kb / 31.9688 MB
page reclaims : 8211
page faults : 0
voluntary switches : 0
involuntary switches : 0

user cpu : 0s 25121us
sys cpu : 0s 11970us
max rss : 17688 kb / 17.2734 MB
page reclaims : 4453
page faults : 0
voluntary switches : 0
involuntary switches : 0

user cpu : 0s 20031us
sys cpu : 0s 3799us
max rss : 37488 kb / 36.6094 MB
page reclaims : 9416
page faults : 0
voluntary switches : 0
involuntary switches : 0

2023-06-04T20:06:40-04:00
Running ./bin/boost_multi_index
Run on (8 X 2904 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 4.68, 3.24, 2.48
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
-------------------------------------------------------------------------------------------------------------------
BenchInsert<sorted_vector_map<uint32_t, uint32_t>>/1                           21.5 ns         21.5 ns     32618448
BenchInsert<sorted_vector_map<uint32_t, uint32_t>>/8                            198 ns          198 ns      4219004
BenchInsert<sorted_vector_map<uint32_t, uint32_t>>/64                          1826 ns         1826 ns       386315
BenchInsert<sorted_vector_map<uint32_t, uint32_t>>/512                        21271 ns        21253 ns        34813
BenchInsert<sorted_vector_map<uint32_t, uint32_t>>/1024                       62390 ns        62370 ns         9946
BenchInsert<std::map<uint32_t, uint32_t>>/1                                    31.4 ns         31.4 ns     23612087
BenchInsert<std::map<uint32_t, uint32_t>>/8                                     340 ns          340 ns      1947405
BenchInsert<std::map<uint32_t, uint32_t>>/64                                   4327 ns         4322 ns       144413
BenchInsert<std::map<uint32_t, uint32_t>>/512                                 47338 ns        47326 ns        15072
BenchInsert<std::map<uint32_t, uint32_t>>/1024                                95991 ns        95923 ns         8064
BenchInsert<boost::container::flat_map<uint32_t, uint32_t>>/1                  25.2 ns         25.2 ns     28154205
BenchInsert<boost::container::flat_map<uint32_t, uint32_t>>/8                   241 ns          240 ns      3059852
BenchInsert<boost::container::flat_map<uint32_t, uint32_t>>/64                 2130 ns         2129 ns       324115
BenchInsert<boost::container::flat_map<uint32_t, uint32_t>>/512               46406 ns        46358 ns        11776
BenchInsert<boost::container::flat_map<uint32_t, uint32_t>>/1024             145448 ns       145426 ns         5025
BenchInsertMulti<MultiContainer<std::pair<uint32_t, uint32_t>>>/1              70.9 ns         70.9 ns      8684400
BenchInsertMulti<MultiContainer<std::pair<uint32_t, uint32_t>>>/8               506 ns          505 ns      1000000
BenchInsertMulti<MultiContainer<std::pair<uint32_t, uint32_t>>>/64             6232 ns         6230 ns       127812
BenchInsertMulti<MultiContainer<std::pair<uint32_t, uint32_t>>>/512           71116 ns        71065 ns        11585
BenchInsertMulti<MultiContainer<std::pair<uint32_t, uint32_t>>>/1024         154162 ns       154130 ns         4622
BenchInsertMulti<MultiHashContainer<std::pair<uint32_t, uint32_t>>>/1          55.9 ns         55.9 ns     13744653
BenchInsertMulti<MultiHashContainer<std::pair<uint32_t, uint32_t>>>/8           226 ns          226 ns      2310869
BenchInsertMulti<MultiHashContainer<std::pair<uint32_t, uint32_t>>>/64         2485 ns         2485 ns       242907
BenchInsertMulti<MultiHashContainer<std::pair<uint32_t, uint32_t>>>/512       36844 ns        36789 ns        15566
BenchInsertMulti<MultiHashContainer<std::pair<uint32_t, uint32_t>>>/1024      78325 ns        74121 ns        12219
BenchInsert<eastl::vector_set<uint64_t>>/1                                     2.51 ns         2.51 ns    274183102
BenchInsert<eastl::vector_set<uint64_t>>/8                                     10.2 ns         9.74 ns     72517973
BenchInsert<eastl::vector_set<uint64_t>>/64                                    74.3 ns         74.2 ns     10800677
BenchInsert<eastl::vector_set<uint64_t>>/512                                    569 ns          569 ns      1350105
BenchInsert<eastl::vector_set<uint64_t>>/1024                                  1100 ns         1081 ns       545808
BenchFind<sorted_vector_map<uint64_t, Pod>>/1                                  5.11 ns         5.11 ns    114175750
BenchFind<sorted_vector_map<uint64_t, Pod>>/8                                  13.0 ns         12.7 ns     43058663
BenchFind<sorted_vector_map<uint64_t, Pod>>/64                                 27.8 ns         27.8 ns     24857437
BenchFind<sorted_vector_map<uint64_t, Pod>>/512                                42.3 ns         42.3 ns     17966696
BenchFind<sorted_vector_map<uint64_t, Pod>>/1024                               50.5 ns         50.5 ns     10000000
BenchFind<std::map<uint64_t, Pod>>/1                                           3.65 ns         3.65 ns    170716920
BenchFind<std::map<uint64_t, Pod>>/8                                           10.6 ns         10.6 ns     73369702
BenchFind<std::map<uint64_t, Pod>>/64                                          16.0 ns         16.0 ns     35063318
BenchFind<std::map<uint64_t, Pod>>/512                                         27.5 ns         27.5 ns     24800798
BenchFind<std::map<uint64_t, Pod>>/1024                                        30.7 ns         30.7 ns     23996124
BenchFind<boost::container::flat_map<uint64_t, Pod>>/1                         5.53 ns         5.53 ns    100017770
