2023-06-11T21:34:24+08:00
Running ./bin/fast_set
Run on (8 X 2904 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 4.17, 4.58, 3.24
-----------------------------------------------------------------------------------------------------
Benchmark                                                           Time             CPU   Iterations
-----------------------------------------------------------------------------------------------------
BenchInsert<fast_vector<Pod, uint64_t>>/1                        63.6 ns         63.3 ns     10185810
BenchInsert<fast_vector<Pod, uint64_t>>/8                         597 ns          594 ns      1196768
BenchInsert<fast_vector<Pod, uint64_t>>/64                       4479 ns         4458 ns       114227
BenchInsert<fast_vector<Pod, uint64_t>>/512                    294567 ns       293122 ns         2340
BenchInsert<fast_vector<Pod, uint64_t>>/1024                   720349 ns       716684 ns         1085
BenchInsert<std::set<Pod>>/1                                     49.4 ns         49.1 ns     13718803
BenchInsert<std::set<Pod>>/8                                      675 ns          671 ns      1077964
BenchInsert<std::set<Pod>>/64                                    6421 ns         6385 ns       100487
BenchInsert<std::set<Pod>>/512                                  62017 ns        61660 ns        12325
BenchInsert<std::set<Pod>>/1024                                141918 ns       141088 ns         5129
BenchInsert<tsl::ordered_set<Pod, PodHash, PodEqual>>/1          85.1 ns         84.6 ns      8034522
BenchInsert<tsl::ordered_set<Pod, PodHash, PodEqual>>/8           652 ns          648 ns      1112992
BenchInsert<tsl::ordered_set<Pod, PodHash, PodEqual>>/64         5924 ns         5887 ns        99261
BenchInsert<tsl::ordered_set<Pod, PodHash, PodEqual>>/512       51291 ns        50973 ns        10000
BenchInsert<tsl::ordered_set<Pod, PodHash, PodEqual>>/1024     106496 ns       105823 ns         6268
BenchFind<fast_vector<Pod, uint64_t>>/1                          3.37 ns         3.35 ns    207264210
BenchFind<fast_vector<Pod, uint64_t>>/8                          5.16 ns         5.12 ns    100000000
BenchFind<fast_vector<Pod, uint64_t>>/64                         3.93 ns         3.91 ns    152049481
BenchFind<fast_vector<Pod, uint64_t>>/512                        4.11 ns         4.19 ns    175778596
BenchFind<fast_vector<Pod, uint64_t>>/1024                       4.21 ns         4.28 ns    157018314
BenchFind<std::set<Pod>>/1                                       5.15 ns         5.22 ns    135001924
BenchFind<std::set<Pod>>/8                                       12.6 ns         12.8 ns     81742546
BenchFind<std::set<Pod>>/64                                      18.7 ns         18.9 ns     47736014
BenchFind<std::set<Pod>>/512                                     27.9 ns         28.1 ns     28323414
BenchFind<std::set<Pod>>/1024                                    34.1 ns         34.3 ns     20152546
BenchFind<tsl::ordered_set<Pod, PodHash, PodEqual>>/1            5.30 ns         5.32 ns    141745704
BenchFind<tsl::ordered_set<Pod, PodHash, PodEqual>>/8            9.39 ns         9.41 ns     80089579
BenchFind<tsl::ordered_set<Pod, PodHash, PodEqual>>/64           10.2 ns         10.2 ns     66404082
BenchFind<tsl::ordered_set<Pod, PodHash, PodEqual>>/512          10.3 ns         10.3 ns     58489666
BenchFind<tsl::ordered_set<Pod, PodHash, PodEqual>>/1024         10.6 ns         10.6 ns     63305938
