2023-06-11T21:35:58+08:00
Running ./bin/fast_unset
Run on (8 X 2904 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 4.06, 4.43, 3.32
-------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations
-------------------------------------------------------------------------------------------
BenchInsert<fast_vector<uint64_t>>/1                   42.7 ns         42.6 ns     14639208
BenchInsert<fast_vector<uint64_t>>/8                    137 ns          137 ns      5245216
BenchInsert<fast_vector<uint64_t>>/64                  1021 ns         1018 ns       699047
BenchInsert<fast_vector<uint64_t>>/512                 8262 ns         8231 ns        87655
BenchInsert<fast_vector<uint64_t>>/1024               15499 ns        15436 ns        46590
BenchInsert<std::unordered_set<uint64_t>>/1            57.4 ns         57.1 ns     12407467
BenchInsert<std::unordered_set<uint64_t>>/8             330 ns          328 ns      2061739
BenchInsert<std::unordered_set<uint64_t>>/64           2682 ns         2668 ns       234728
BenchInsert<std::unordered_set<uint64_t>>/512         29576 ns        29422 ns        22752
BenchInsert<std::unordered_set<uint64_t>>/1024        57472 ns        57171 ns        12386
BenchInsert<ska::flat_hash_set<uint64_t>>/1            53.3 ns         53.0 ns     13741626
BenchInsert<ska::flat_hash_set<uint64_t>>/8             179 ns          178 ns      4226626
BenchInsert<ska::flat_hash_set<uint64_t>>/64           1189 ns         1182 ns       598704
BenchInsert<ska::flat_hash_set<uint64_t>>/512          8809 ns         8758 ns        85223
BenchInsert<ska::flat_hash_set<uint64_t>>/1024        16571 ns        16474 ns        42703
BenchInsert<ska::bytell_hash_set<uint64_t>>/1          48.6 ns         48.3 ns     14020748
BenchInsert<ska::bytell_hash_set<uint64_t>>/8           187 ns          186 ns      3802277
BenchInsert<ska::bytell_hash_set<uint64_t>>/64         1397 ns         1388 ns       523723
BenchInsert<ska::bytell_hash_set<uint64_t>>/512        9815 ns         9754 ns        72644
BenchInsert<ska::bytell_hash_set<uint64_t>>/1024      19268 ns        19471 ns        35863
BenchInsert<tsl::robin_set<uint64_t>>/1                54.4 ns         55.5 ns     10000000
BenchInsert<tsl::robin_set<uint64_t>>/8                 185 ns          188 ns      3594191
BenchInsert<tsl::robin_set<uint64_t>>/64               1309 ns         1328 ns       517123
BenchInsert<tsl::robin_set<uint64_t>>/512              9076 ns         9189 ns        71357
BenchInsert<tsl::robin_set<uint64_t>>/1024            18413 ns        18607 ns        36895
BenchFind<fast_vector<uint64_t>>/1                     3.48 ns         3.50 ns    215031374
BenchFind<fast_vector<uint64_t>>/8                     3.55 ns         3.57 ns    187804662
BenchFind<fast_vector<uint64_t>>/64                    3.89 ns         3.91 ns    186631207
BenchFind<fast_vector<uint64_t>>/512                   3.95 ns         3.96 ns    177146566
BenchFind<fast_vector<uint64_t>>/1024                  3.89 ns         3.89 ns    180705608
BenchFind<std::unordered_set<uint64_t>>/1              9.43 ns         9.44 ns     77195297
BenchFind<std::unordered_set<uint64_t>>/8              12.0 ns         12.0 ns     46434660
BenchFind<std::unordered_set<uint64_t>>/64             17.1 ns         17.1 ns     41234322
BenchFind<std::unordered_set<uint64_t>>/512            16.6 ns         16.6 ns     41211162
BenchFind<std::unordered_set<uint64_t>>/1024           17.8 ns         17.8 ns     38948907
BenchFind<ska::flat_hash_set<uint64_t>>/1              6.78 ns         6.76 ns    108429770
BenchFind<ska::flat_hash_set<uint64_t>>/8              7.61 ns         7.59 ns     89517809
BenchFind<ska::flat_hash_set<uint64_t>>/64             8.40 ns         8.37 ns     84627997
BenchFind<ska::flat_hash_set<uint64_t>>/512            8.64 ns         8.61 ns     87022726
BenchFind<ska::flat_hash_set<uint64_t>>/1024           8.79 ns         8.76 ns     87068666
BenchFind<ska::bytell_hash_set<uint64_t>>/1            6.80 ns         6.77 ns    106844216
