2023-06-04T20:12:03-04:00
Running ./bin/map_range_unorder
Run on (8 X 2904 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 4.25, 3.99, 3.06
-----------------------------------------------------------------------------------------------------------------------
Benchmark                                                                             Time             CPU   Iterations
-----------------------------------------------------------------------------------------------------------------------
BenchRangeUnOrderMapInt<std::unordered_map<int, int>>                            115673 ns       115671 ns         6088
BenchRangeUnOrderMapInt<ska::unordered_map<int, int>>                            165231 ns       165232 ns         4757
BenchRangeUnOrderMapInt<ska::flat_hash_map<int, int>>                             95284 ns        95273 ns         7037
BenchRangeUnOrderMapInt<ska::bytell_hash_map<int, int>>                          189115 ns       189116 ns         3427
BenchRangeUnOrderMapInt<phmap::flat_hash_map<int, int>>                          273837 ns       273832 ns         2587
BenchRangeUnOrderMapInt<absl::flat_hash_map<int, int>>                           247029 ns       247030 ns         2809
BenchRangeUnOrderMapInt<robin_hood::unordered_flat_map<int, int>>                165916 ns       165911 ns         4240
BenchRangeUnOrderMapInt<spp::sparse_hash_map<int, int>>                           80441 ns        80442 ns         9951
BenchRangeUnOrderMapInt<tsl::bhopscotch_map<int, int>>                           141189 ns       141187 ns         6519
BenchRangeUnOrderMapInt<tsl::hopscotch_map<int, int>>                            145937 ns       145938 ns         5305
BenchRangeUnOrderMapInt<tsl::robin_map<int, int>>                                114179 ns       114177 ns         8612
BenchRangeUnOrderMapInt<tsl::sparse_map<int, int>>                                56645 ns        56646 ns        10427
BenchRangeFlatMapInt                                                              52244 ns        52245 ns        12399
BenchRangeUnOrderMapString<std::unordered_map<std::string, int>>                 738594 ns       738538 ns          986
BenchRangeUnOrderMapString<ska::unordered_map<std::string, int>>                 722374 ns       722370 ns          880
BenchRangeUnOrderMapString<ska::flat_hash_map<std::string, int>>                 449210 ns       449215 ns         1443
BenchRangeUnOrderMapString<ska::bytell_hash_map<std::string, int>>               603258 ns       603260 ns         1160
BenchRangeUnOrderMapString<phmap::flat_hash_map<std::string, int>>               309615 ns       309602 ns         2294
BenchRangeUnOrderMapString<absl::flat_hash_map<std::string, int>>                346253 ns       346255 ns         2181
BenchRangeUnOrderMapString<robin_hood::unordered_flat_map<std::string, int>>     182793 ns       182796 ns         3924
BenchRangeUnOrderMapString<spp::sparse_hash_map<std::string, int>>               155259 ns       155261 ns         4396
BenchRangeUnOrderMapString<tsl::bhopscotch_map<std::string, int>>                528722 ns       528681 ns         1000
BenchRangeUnOrderMapString<tsl::hopscotch_map<std::string, int>>                 518665 ns       518668 ns         1368
BenchRangeUnOrderMapString<tsl::robin_map<std::string, int>>                     537547 ns       537526 ns         1169
BenchRangeUnOrderMapString<tsl::sparse_map<std::string, int>>                    100639 ns       100636 ns         6866
BenchRangeCharKeyMap<tsl::htrie_map<char, int>>                                  609551 ns       609527 ns         1390
BenchRangeCharKeyMap<tsl::array_map<char, int>>                                  550055 ns       550062 ns         1224
BenchRangeFlatMapString                                                          625824 ns       625805 ns         1104
