1
0
1
1
1
1
1
0
0
1
1
0
2023-06-11T21:30:33+08:00
Running ./bin/sorted_pod
Run on (8 X 2904 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 8.03, 4.84, 2.89
-----------------------------------------------------------------------------------------------------------------
Benchmark                                                                       Time             CPU   Iterations
-----------------------------------------------------------------------------------------------------------------
BenchInsertPod<std::vector<NonPod>>/2                                         289 ns          245 ns      2916481
BenchInsertPod<std::vector<NonPod>>/8                                        1459 ns         1417 ns       488326
BenchInsertPod<std::vector<NonPod>>/64                                      11840 ns        11608 ns        60007
BenchInsertPod<std::vector<NonPod>>/512                                     91209 ns        91053 ns         8132
BenchInsertPod<std::vector<NonPod>>/4096                                  6170266 ns      6157142 ns           98
BenchInsertPod<std::vector<NonPod>>/32768                                48536704 ns     48231414 ns           13
BenchInsertPod<std::vector<NonPod>>/65536                                94214784 ns     93787811 ns            7
BenchInsertPod<std::vector<Pod>>/2                                            210 ns          209 ns      3035941
BenchInsertPod<std::vector<Pod>>/8                                           1295 ns         1290 ns       524842
BenchInsertPod<std::vector<Pod>>/64                                         11207 ns        11149 ns        64667
BenchInsertPod<std::vector<Pod>>/512                                        93037 ns        92606 ns         7730
BenchInsertPod<std::vector<Pod>>/4096                                     5661115 ns      5632065 ns          124
BenchInsertPod<std::vector<Pod>>/32768                                   43218581 ns     42989326 ns           15
BenchInsertPod<std::vector<Pod>>/65536                                   88254700 ns     87774449 ns            8
BenchInsertPod<std::vector<TriviallyCopy>>/2                                  203 ns          202 ns      3166791
BenchInsertPod<std::vector<TriviallyCopy>>/8                                 1383 ns         1375 ns       543995
BenchInsertPod<std::vector<TriviallyCopy>>/64                               11320 ns        11245 ns        49796
BenchInsertPod<std::vector<TriviallyCopy>>/512                             110163 ns       109538 ns         5968
BenchInsertPod<std::vector<TriviallyCopy>>/4096                           7026105 ns      6985674 ns          107
BenchInsertPod<std::vector<TriviallyCopy>>/32768                         53359083 ns     52998787 ns           14
