2023-06-11T21:33:14+08:00
Running ./bin/sorted_set
Run on (8 X 2904 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 4.50, 4.72, 3.18
--------------------------------------------------------------------------------------------------------
Benchmark                                                              Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------
BenchInsert<sorted_vector<uint64_t>>/1                              22.5 ns         22.4 ns     33034226
BenchInsert<sorted_vector<uint64_t>>/8                               217 ns          216 ns      3469824
BenchInsert<sorted_vector<uint64_t>>/64                             2371 ns         2363 ns       253333
BenchInsert<sorted_vector<uint64_t>>/512                           30542 ns        30434 ns        22955
BenchInsert<sorted_vector<uint64_t>>/1024                          75527 ns        75220 ns        10557
BenchInsert<std::set<uint64_t>>/1                                   25.2 ns         25.1 ns     31227809
BenchInsert<std::set<uint64_t>>/8                                    319 ns          317 ns      2366066
BenchInsert<std::set<uint64_t>>/64                                  4306 ns         4285 ns       172905
BenchInsert<std::set<uint64_t>>/512                                39381 ns        39173 ns        17201
BenchInsert<std::set<uint64_t>>/1024                               85036 ns        84576 ns         8758
BenchInsert<tsl::ordered_set<uint64_t>>/1                           59.2 ns         58.8 ns     12199519
BenchInsert<tsl::ordered_set<uint64_t>>/8                            364 ns          361 ns      1982497
BenchInsert<tsl::ordered_set<uint64_t>>/64                          2445 ns         2430 ns       249209
BenchInsert<tsl::ordered_set<uint64_t>>/512                        20788 ns        20664 ns        36548
BenchInsert<tsl::ordered_set<uint64_t>>/1024                       39886 ns        39632 ns        17303
BenchInsertPod<sorted_vector<Pod>>/1                                19.2 ns         19.0 ns     36678246
BenchInsertPod<sorted_vector<Pod>>/8                                 186 ns          184 ns      4102929
BenchInsertPod<sorted_vector<Pod>>/64                               2239 ns         2225 ns       323348
BenchInsertPod<sorted_vector<Pod>>/512                             30491 ns        30290 ns        23707
BenchInsertPod<sorted_vector<Pod>>/1024                            81988 ns        81455 ns         9194
BenchInsertPodMap<sorted_vector_map<uint64_t, PodMap>>/8             174 ns          174 ns      3709806
BenchInsertPodMap<sorted_vector_map<uint64_t, PodMap>>/64           2302 ns         2352 ns       318416
BenchInsertPodMap<sorted_vector_map<uint64_t, PodMap>>/512         31698 ns        32251 ns        20470
BenchInsertPodMap<sorted_vector_map<uint64_t, PodMap>>/1024        84739 ns        86016 ns         7522
BenchInsertPod<std::set<Pod>>/1                                     21.4 ns         21.6 ns     28047501
BenchInsertPod<std::set<Pod>>/8                                      289 ns          292 ns      2337337
BenchInsertPod<std::set<Pod>>/64                                    3882 ns         3912 ns       166560
BenchInsertPod<std::set<Pod>>/512                                  36656 ns        36872 ns        19863
BenchInsertPod<std::set<Pod>>/1024                                 74945 ns        75266 ns         9464
BenchInsertPod<tsl::ordered_set<Pod, PodHash, PodEqual>>/1          57.5 ns         57.7 ns     12025445
BenchInsertPod<tsl::ordered_set<Pod, PodHash, PodEqual>>/8           339 ns          340 ns      2105054
BenchInsertPod<tsl::ordered_set<Pod, PodHash, PodEqual>>/64         2468 ns         2469 ns       252507
BenchInsertPod<tsl::ordered_set<Pod, PodHash, PodEqual>>/512       19961 ns        19960 ns        34646
BenchInsertPod<tsl::ordered_set<Pod, PodHash, PodEqual>>/1024      40324 ns        40271 ns        17051
BenchFind<sorted_vector<uint64_t>>/1                                5.19 ns         5.18 ns    131742665
BenchFind<sorted_vector<uint64_t>>/8                                10.6 ns         10.6 ns     62187151
BenchFind<sorted_vector<uint64_t>>/64                               21.4 ns         21.3 ns     34102067
BenchFind<sorted_vector<uint64_t>>/512                              35.2 ns         35.1 ns     20194902
