2023-06-16T17:34:11+08:00
Running ./bin/adt_fast_set
Run on (16 X 3417.59 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 30720 KiB (x1)
Load Average: 4.09, 2.66, 1.55
----------------------------------------------------------------------------------------------------------
Benchmark                                                                Time             CPU   Iterations
----------------------------------------------------------------------------------------------------------
BenchInsert<fast_vector<uint32_t, uint32_t>>/1                        22.2 ns         22.2 ns     31635648
BenchInsert<fast_vector<uint32_t, uint32_t>>/8                         177 ns          177 ns      3930481
BenchInsert<fast_vector<uint32_t, uint32_t>>/64                       1046 ns         1046 ns       667554
BenchInsert<fast_vector<uint32_t, uint32_t>>/512                      7261 ns         7261 ns        96145
BenchInsert<fast_vector<uint32_t, uint32_t>>/1024                    14325 ns        14325 ns        48778
BenchInsert<phmap::flat_hash_set<uint64_t>>/1                         15.3 ns         15.3 ns     45696551
BenchInsert<phmap::flat_hash_set<uint64_t>>/8                          168 ns          168 ns      4160608
BenchInsert<phmap::flat_hash_set<uint64_t>>/64                        1029 ns         1029 ns       682160
BenchInsert<phmap::flat_hash_set<uint64_t>>/512                       6825 ns         6825 ns       100878
BenchInsert<phmap::flat_hash_set<uint64_t>>/1024                     13359 ns        13359 ns        52423
BenchInsert<llvm::SetVector<uint64_t>>/1                              21.9 ns         21.9 ns     33153453
BenchInsert<llvm::SetVector<uint64_t>>/8                              71.0 ns         71.0 ns      9858309
BenchInsert<llvm::SetVector<uint64_t>>/64                              890 ns          890 ns       793511
BenchInsert<llvm::SetVector<uint64_t>>/512                            9398 ns         9397 ns        74661
BenchInsert<llvm::SetVector<uint64_t>>/1024                          18388 ns        18387 ns        38025
BenchInsert<tsl::ordered_set<uint64_t, PodHash, PodEqual>>/1          28.8 ns         28.8 ns     24260467
BenchInsert<tsl::ordered_set<uint64_t, PodHash, PodEqual>>/8           200 ns          200 ns      3495331
