2023-06-16T17:48:17+08:00
Running ./bin/adt_fast_uset
Run on (16 X 3417.59 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 30720 KiB (x1)
Load Average: 4.01, 3.99, 3.08
--------------------------------------------------------------------------------------------
Benchmark                                                  Time             CPU   Iterations
--------------------------------------------------------------------------------------------
BenchInsert<fast_vector<uint64_t>>/1                    22.0 ns         22.0 ns     32004310
BenchInsert<fast_vector<uint64_t>>/8                    86.3 ns         86.3 ns      9080070
BenchInsert<fast_vector<uint64_t>>/64                    395 ns          395 ns      1779182
BenchInsert<fast_vector<uint64_t>>/512                  3019 ns         3019 ns       262332
BenchInsert<fast_vector<uint64_t>>/1024                 5394 ns         5394 ns       128802
BenchInsert<phmap::flat_hash_set<uint64_t>>/1           14.6 ns         14.6 ns     48234968
BenchInsert<phmap::flat_hash_set<uint64_t>>/8           67.7 ns         67.7 ns     10373818
BenchInsert<phmap::flat_hash_set<uint64_t>>/64           329 ns          329 ns      2119023
BenchInsert<phmap::flat_hash_set<uint64_t>>/512         1982 ns         1982 ns       351285
BenchInsert<phmap::flat_hash_set<uint64_t>>/1024        3816 ns         3816 ns       182633
BenchInsert<std::unordered_set<uint64_t>>/1             25.0 ns         25.0 ns     28427632
BenchInsert<std::unordered_set<uint64_t>>/8              142 ns          142 ns      4940838
BenchInsert<std::unordered_set<uint64_t>>/64            1204 ns         1204 ns       579685
BenchInsert<std::unordered_set<uint64_t>>/512          14890 ns        14890 ns        46960
BenchInsert<std::unordered_set<uint64_t>>/1024         29791 ns        29791 ns        23284
BenchInsert<ska::flat_hash_set<uint64_t>>/1             28.5 ns         28.5 ns     24422530
BenchInsert<ska::flat_hash_set<uint64_t>>/8              118 ns          118 ns      5926625
BenchInsert<ska::flat_hash_set<uint64_t>>/64             784 ns          784 ns       899689
BenchInsert<ska::flat_hash_set<uint64_t>>/512           5893 ns         5893 ns       118669
BenchInsert<ska::flat_hash_set<uint64_t>>/1024         11744 ns        11744 ns        59346
BenchInsert<ska::bytell_hash_set<uint64_t>>/1           28.3 ns         28.3 ns     24735862
BenchInsert<ska::bytell_hash_set<uint64_t>>/8            115 ns          115 ns      6058394
BenchInsert<ska::bytell_hash_set<uint64_t>>/64           827 ns          827 ns       850125
BenchInsert<ska::bytell_hash_set<uint64_t>>/512         6365 ns         6364 ns       110659
BenchInsert<ska::bytell_hash_set<uint64_t>>/1024       12693 ns        12693 ns        54702
BenchInsert<tsl::robin_set<uint64_t>>/1                 29.4 ns         29.4 ns     23841950
BenchInsert<tsl::robin_set<uint64_t>>/8                  116 ns          116 ns      6012791
BenchInsert<tsl::robin_set<uint64_t>>/64                 782 ns          782 ns       894376
BenchInsert<tsl::robin_set<uint64_t>>/512               6000 ns         6001 ns       117420
BenchInsert<tsl::robin_set<uint64_t>>/1024             11955 ns        11955 ns        58709
BenchInsertVecSet<llvm::SetVector<uint64_t>>/1          21.0 ns         21.0 ns     33379557
BenchInsertVecSet<llvm::SetVector<uint64_t>>/8          73.2 ns         73.2 ns      9732345
BenchInsertVecSet<llvm::SetVector<uint64_t>>/64          903 ns          903 ns       755432
BenchInsertVecSet<llvm::SetVector<uint64_t>>/512        8975 ns         8975 ns        77612
BenchInsertVecSet<llvm::SetVector<uint64_t>>/1024      18091 ns        18091 ns        38618
BenchFind<fast_vector<uint64_t>>/1                      1.98 ns         1.98 ns    353451532
BenchFind<fast_vector<uint64_t>>/8                      2.47 ns         2.47 ns    288230497
