1
0
1
1
1
1
1
0
0
1
1
0
2023-06-16T17:37:57+08:00
Running ./bin/sorted_pod
Run on (16 X 3417.59 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 30720 KiB (x1)
Load Average: 4.00, 3.38, 2.08
-----------------------------------------------------------------------------------------------------------------
Benchmark                                                                       Time             CPU   Iterations
-----------------------------------------------------------------------------------------------------------------
BenchInsertPod<std::vector<NonPod>>/2                                        67.5 ns         67.5 ns     10610582
BenchInsertPod<std::vector<NonPod>>/8                                         840 ns          840 ns       820960
BenchInsertPod<std::vector<NonPod>>/64                                       6573 ns         6573 ns       108063
BenchInsertPod<std::vector<NonPod>>/512                                     83676 ns        83675 ns         8503
BenchInsertPod<std::vector<NonPod>>/4096                                  3792953 ns      3792412 ns          205
BenchInsertPod<std::vector<NonPod>>/32768                                30875793 ns     30865718 ns           23
BenchInsertPod<std::vector<NonPod>>/65536                                60580191 ns     60570566 ns           12
BenchInsertPod<std::vector<Pod>>/2                                           65.8 ns         65.8 ns     10756098
BenchInsertPod<std::vector<Pod>>/8                                            824 ns          824 ns       846910
BenchInsertPod<std::vector<Pod>>/64                                          6563 ns         6563 ns       107914
BenchInsertPod<std::vector<Pod>>/512                                        84456 ns        84454 ns         8400
BenchInsertPod<std::vector<Pod>>/4096                                     3510643 ns      3510650 ns          191
BenchInsertPod<std::vector<Pod>>/32768                                   30610402 ns     30610167 ns           22
BenchInsertPod<std::vector<Pod>>/65536                                   63164851 ns     63156458 ns           11
BenchInsertPod<std::vector<TriviallyCopy>>/2                                 66.2 ns         66.2 ns     10505401
BenchInsertPod<std::vector<TriviallyCopy>>/8                                  829 ns          829 ns       849394
BenchInsertPod<std::vector<TriviallyCopy>>/64                                6576 ns         6576 ns       105473
BenchInsertPod<std::vector<TriviallyCopy>>/512                              83548 ns        83547 ns         8505
BenchInsertPod<std::vector<TriviallyCopy>>/4096                           3670498 ns      3669584 ns          200
BenchInsertPod<std::vector<TriviallyCopy>>/32768                         31023385 ns     31022307 ns           22
BenchInsertPod<std::vector<TriviallyCopy>>/65536                         62299902 ns     62298071 ns           11
BenchInsertPod<std::vector<NoTriviallyCopy>>/2                               66.4 ns         66.4 ns     10687544
BenchInsertPod<std::vector<NoTriviallyCopy>>/8                                829 ns          829 ns       833338
BenchInsertPod<std::vector<NoTriviallyCopy>>/64                              6570 ns         6570 ns       105963
BenchInsertPod<std::vector<NoTriviallyCopy>>/512                            83637 ns        83634 ns         8468
BenchInsertPod<std::vector<NoTriviallyCopy>>/4096                         3824955 ns      3824904 ns          181
BenchInsertPod<std::vector<NoTriviallyCopy>>/32768                       30836123 ns     30831096 ns           22
BenchInsertPod<std::vector<NoTriviallyCopy>>/65536                       61517433 ns     61498387 ns           12
