2022-11-12T16:57:39+08:00
Running ./bin/adt_fast_map
Run on (8 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x8)
  L1 Instruction 64 KiB (x8)
  L2 Unified 512 KiB (x8)
  L3 Unified 32768 KiB (x1)
Load Average: 7.57, 6.81, 5.47
---------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                             Time             CPU   Iterations
---------------------------------------------------------------------------------------------------------------------------------------
BenchInsert<fast_vector_map<uint64_t, uint64_t>>/1024                                             55742 ns        55741 ns        12553
BenchInsert<fast_vector_map<uint64_t, uint64_t>>/4096                                            257549 ns       257545 ns         2717
BenchInsert<fast_vector_map<uint64_t, uint64_t>>/32768                                          2915649 ns      2914939 ns          240
BenchInsert<fast_vector_map<uint64_t, uint64_t>>/262144                                        24776744 ns     24769358 ns           28
BenchInsert<fast_vector_map<uint64_t, uint64_t>>/1048576                                      105244657 ns    105210242 ns            6
BenchInsert<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/1024         45772 ns        45771 ns        15295
BenchInsert<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/4096        191017 ns       191014 ns         3663
BenchInsert<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/32768      1836112 ns      1836082 ns          381
BenchInsert<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/262144    20829812 ns     20828221 ns           34
BenchInsert<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/1048576  123466653 ns    123351617 ns            6
BenchInsert<llvm::MapVector<uint64_t, uint64_t>>/1024                                             45783 ns        45781 ns        15283
BenchInsert<llvm::MapVector<uint64_t, uint64_t>>/4096                                            190184 ns       190180 ns         3682
BenchInsert<llvm::MapVector<uint64_t, uint64_t>>/32768                                          1835121 ns      1835077 ns          380
BenchInsert<llvm::MapVector<uint64_t, uint64_t>>/262144                                        22454592 ns     22454266 ns           31
BenchInsert<llvm::MapVector<uint64_t, uint64_t>>/1048576                                      128881424 ns    128536297 ns            6
BenchFind<fast_vector_map<uint64_t, uint64_t>>/1024                                                11.7 ns         11.7 ns     62361224
BenchFind<fast_vector_map<uint64_t, uint64_t>>/4096                                                11.9 ns         11.9 ns     60527720
BenchFind<fast_vector_map<uint64_t, uint64_t>>/32768                                               16.1 ns         16.1 ns     43458235
BenchFind<fast_vector_map<uint64_t, uint64_t>>/262144                                              34.9 ns         34.9 ns     20735496
BenchFind<fast_vector_map<uint64_t, uint64_t>>/1048576                                             42.9 ns         42.9 ns     16100051
BenchFind<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/1024            25.1 ns         25.1 ns     27756544
BenchFind<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/4096            29.9 ns         29.9 ns     23264088
BenchFind<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/32768           53.4 ns         53.4 ns     10000000
BenchFind<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/262144          71.1 ns         71.1 ns     10068311
BenchFind<fast_vector_map<uint64_t, uint64_t, llvm::DenseMap<uint64_t, uint32_t>>>/1048576          116 ns          116 ns      6380865
BenchFind<llvm::MapVector<uint64_t, uint64_t>>/1024                                                25.0 ns         25.0 ns     28248039
