2022-11-12T17:00:53+08:00
Running ./bin/adt_fast_uset
Run on (8 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x8)
  L1 Instruction 64 KiB (x8)
  L2 Unified 512 KiB (x8)
  L3 Unified 32768 KiB (x1)
Load Average: 8.68, 7.86, 6.15
--------------------------------------------------------------------------------------------
Benchmark                                                  Time             CPU   Iterations
--------------------------------------------------------------------------------------------
BenchInsert<fast_vector<uint64_t>>/1                    75.6 ns         75.5 ns      9255814
BenchInsert<fast_vector<uint64_t>>/8                     266 ns          266 ns      2634696
BenchInsert<fast_vector<uint64_t>>/64                   1968 ns         1811 ns       387965
BenchInsert<fast_vector<uint64_t>>/512                 13833 ns        13563 ns        51610
BenchInsert<fast_vector<uint64_t>>/1024                30530 ns        27063 ns        25850
BenchInsert<phmap::flat_hash_set<uint64_t>>/1           46.6 ns         46.6 ns     15012437
BenchInsert<phmap::flat_hash_set<uint64_t>>/8            207 ns          181 ns      3869168
BenchInsert<phmap::flat_hash_set<uint64_t>>/64          1751 ns         1239 ns       565116
BenchInsert<phmap::flat_hash_set<uint64_t>>/512        15904 ns         9279 ns        75332
BenchInsert<phmap::flat_hash_set<uint64_t>>/1024       19124 ns        18490 ns        37883
BenchInsert<std::unordered_set<uint64_t>>/1              188 ns          188 ns      3722507
BenchInsert<std::unordered_set<uint64_t>>/8              548 ns          548 ns      1265273
BenchInsert<std::unordered_set<uint64_t>>/64            3973 ns         3712 ns       188603
BenchInsert<std::unordered_set<uint64_t>>/512          41213 ns        41207 ns        16988
BenchInsert<std::unordered_set<uint64_t>>/1024         82332 ns        82331 ns         8502
BenchInsert<ska::flat_hash_set<uint64_t>>/1             93.5 ns         87.7 ns      7976920
BenchInsert<ska::flat_hash_set<uint64_t>>/8              248 ns          230 ns      3047787
BenchInsert<ska::flat_hash_set<uint64_t>>/64            2519 ns         1497 ns       467560
BenchInsert<ska::flat_hash_set<uint64_t>>/512          11036 ns        11035 ns        63330
BenchInsert<ska::flat_hash_set<uint64_t>>/1024         21966 ns        21966 ns        31840
BenchInsert<ska::bytell_hash_set<uint64_t>>/1           70.1 ns         70.1 ns     10051552
BenchInsert<ska::bytell_hash_set<uint64_t>>/8            265 ns          265 ns      2631553
BenchInsert<ska::bytell_hash_set<uint64_t>>/64          1777 ns         1777 ns       393787
BenchInsert<ska::bytell_hash_set<uint64_t>>/512        13376 ns        13375 ns        52335
BenchInsert<ska::bytell_hash_set<uint64_t>>/1024       26641 ns        26640 ns        26278
BenchInsert<tsl::robin_set<uint64_t>>/1                 90.2 ns         90.2 ns      7759544
BenchInsert<tsl::robin_set<uint64_t>>/8                  273 ns          273 ns      2578152
BenchInsert<tsl::robin_set<uint64_t>>/64                1732 ns         1731 ns       405372
BenchInsert<tsl::robin_set<uint64_t>>/512              12887 ns        12886 ns        54330
BenchInsert<tsl::robin_set<uint64_t>>/1024             25621 ns        25620 ns        27297
BenchInsertVecSet<llvm::SetVector<uint64_t>>/1          70.9 ns         70.9 ns      9877740
BenchInsertVecSet<llvm::SetVector<uint64_t>>/8           245 ns          245 ns      2856076
BenchInsertVecSet<llvm::SetVector<uint64_t>>/64         2186 ns         2186 ns       320143
BenchInsertVecSet<llvm::SetVector<uint64_t>>/512       20799 ns        20799 ns        33663
BenchInsertVecSet<llvm::SetVector<uint64_t>>/1024      41609 ns        41609 ns        16828
BenchFind<fast_vector<uint64_t>>/1                      7.23 ns         7.23 ns     96598678
BenchFind<fast_vector<uint64_t>>/8                      7.99 ns         7.99 ns     87207376
BenchFind<fast_vector<uint64_t>>/64                     8.04 ns         8.04 ns     87109120
BenchFind<fast_vector<uint64_t>>/512                    9.17 ns         9.17 ns     77439248
BenchFind<fast_vector<uint64_t>>/1024                   8.85 ns         8.85 ns     78051513
BenchFind<phmap::flat_hash_set<uint64_t>>/1             7.33 ns         7.33 ns     95332377
BenchFind<phmap::flat_hash_set<uint64_t>>/8             7.88 ns         7.87 ns     76377890
BenchFind<phmap::flat_hash_set<uint64_t>>/64            10.3 ns         10.3 ns     86403827
BenchFind<phmap::flat_hash_set<uint64_t>>/512           8.91 ns         8.91 ns     75355054
BenchFind<phmap::flat_hash_set<uint64_t>>/1024          9.68 ns         9.68 ns     79308907
BenchFind<std::unordered_set<uint64_t>>/1               11.9 ns         11.9 ns     58849601
BenchFind<std::unordered_set<uint64_t>>/8               14.4 ns         14.4 ns     40826253
