2022-11-12T16:58:45+08:00
Running ./bin/fast_set
Run on (8 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x8)
  L1 Instruction 64 KiB (x8)
  L2 Unified 512 KiB (x8)
  L3 Unified 32768 KiB (x1)
Load Average: 8.28, 7.17, 5.68
-----------------------------------------------------------------------------------------------------
Benchmark                                                           Time             CPU   Iterations
-----------------------------------------------------------------------------------------------------
BenchInsert<fast_vector<Pod, uint64_t>>/1                         107 ns          107 ns      6592748
BenchInsert<fast_vector<Pod, uint64_t>>/8                        1230 ns         1230 ns       568246
BenchInsert<fast_vector<Pod, uint64_t>>/64                       9907 ns         9907 ns        70247
BenchInsert<fast_vector<Pod, uint64_t>>/512                    363066 ns       363060 ns         1920
BenchInsert<fast_vector<Pod, uint64_t>>/1024                   796042 ns       795739 ns          882
BenchInsert<std::set<Pod>>/1                                     95.5 ns         95.5 ns      7323958
BenchInsert<std::set<Pod>>/8                                     1211 ns         1211 ns       575973
BenchInsert<std::set<Pod>>/64                                   10151 ns        10151 ns        69267
BenchInsert<std::set<Pod>>/512                                 112076 ns       111994 ns         6263
BenchInsert<std::set<Pod>>/1024                                259103 ns       259098 ns         2712
BenchInsert<tsl::ordered_set<Pod, PodHash, PodEqual>>/1           145 ns          145 ns      4829233
BenchInsert<tsl::ordered_set<Pod, PodHash, PodEqual>>/8          1121 ns         1121 ns       622873
BenchInsert<tsl::ordered_set<Pod, PodHash, PodEqual>>/64         9800 ns         9800 ns        71421
BenchInsert<tsl::ordered_set<Pod, PodHash, PodEqual>>/512       80358 ns        80358 ns         8700
BenchInsert<tsl::ordered_set<Pod, PodHash, PodEqual>>/1024     171470 ns       171467 ns         4042
BenchFind<fast_vector<Pod, uint64_t>>/1                          7.26 ns         7.26 ns     96595265
BenchFind<fast_vector<Pod, uint64_t>>/8                          8.03 ns         8.03 ns     87564031
BenchFind<fast_vector<Pod, uint64_t>>/64                         8.32 ns         8.32 ns     78418404
BenchFind<fast_vector<Pod, uint64_t>>/512                        9.07 ns         9.07 ns     80021153
