2022-11-12T16:58:12+08:00
Running ./bin/map_find_order
Run on (8 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x8)
  L1 Instruction 64 KiB (x8)
  L2 Unified 512 KiB (x8)
  L3 Unified 32768 KiB (x1)
Load Average: 7.76, 6.94, 5.56
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                                                                                                                   Time             CPU   Iterations
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
BenchOrderMapInt<std::map<int, int>>                                                                                                                                                                      380 ns          380 ns      2083022
BenchOrderMapInt<tsl::ordered_map<int, int>>                                                                                                                                                             52.7 ns         52.7 ns     10000000
BenchOrderMapInt<absl::btree_map<int, int>>                                                                                                                                                               140 ns          140 ns      4878975
BenchOrderMapInt<phmap::btree_map<int, int>>                                                                                                                                                              144 ns          144 ns      4892967
BenchOrderMapInt<tsl::ordered_map<int, int, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int, int>>, std::vector<std::pair<int, int>>>>                                                  40.5 ns         40.5 ns     15300726
BenchOrderMapInt<absl::btree_map<int, int>>                                                                                                                                                               142 ns          142 ns      5070303
BenchOrderMapString<std::map<std::string, int>>                                                                                                                                                          1143 ns         1143 ns       607762
BenchOrderMapString<tsl::ordered_map<std::string, int>>                                                                                                                                                   470 ns          470 ns      1267336
BenchOrderMapString<tsl::ordered_map<std::string, int, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string, int>>, std::vector<std::pair<std::string, int>>>>        504 ns          504 ns      1395030
BenchOrderMapString<absl::btree_map<std::string, int>>                                                                                                                                                   1436 ns         1436 ns       471764
BenchOrderMapString<phmap::btree_map<std::string, int>>                                                                                                                                                  1626 ns         1476 ns       477038
