2022-11-12T16:56:45+08:00
Running ./bin/sorted_set
Run on (8 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x8)
  L1 Instruction 64 KiB (x8)
  L2 Unified 512 KiB (x8)
  L3 Unified 32768 KiB (x1)
Load Average: 6.92, 6.56, 5.31
--------------------------------------------------------------------------------------------------------
Benchmark                                                              Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------
BenchInsert<sorted_vector<uint64_t>>/1                              30.5 ns         30.5 ns     22961759
BenchInsert<sorted_vector<uint64_t>>/8                               275 ns          275 ns      2543116
BenchInsert<sorted_vector<uint64_t>>/64                             2814 ns         2813 ns       248413
BenchInsert<sorted_vector<uint64_t>>/512                           45155 ns        45149 ns        15489
BenchInsert<sorted_vector<uint64_t>>/1024                         134492 ns       134473 ns         5198
BenchInsert<std::set<uint64_t>>/1                                   34.9 ns         34.9 ns     20111119
BenchInsert<std::set<uint64_t>>/8                                    458 ns          458 ns      1529117
BenchInsert<std::set<uint64_t>>/64                                  5891 ns         5890 ns       118880
BenchInsert<std::set<uint64_t>>/512                                54929 ns        54904 ns        12726
BenchInsert<std::set<uint64_t>>/1024                              113579 ns       113558 ns         6162
BenchInsert<tsl::ordered_set<uint64_t>>/1                           93.5 ns         93.4 ns      7507213
BenchInsert<tsl::ordered_set<uint64_t>>/8                            514 ns          514 ns      1363150
BenchInsert<tsl::ordered_set<uint64_t>>/64                          3508 ns         3508 ns       199549
BenchInsert<tsl::ordered_set<uint64_t>>/512                        27624 ns        27619 ns        25340
BenchInsert<tsl::ordered_set<uint64_t>>/1024                       55269 ns        55259 ns        12676
BenchInsertPod<sorted_vector<Pod>>/1                                30.5 ns         30.5 ns     22970969
BenchInsertPod<sorted_vector<Pod>>/8                                 272 ns          272 ns      2575743
BenchInsertPod<sorted_vector<Pod>>/64                               3035 ns         3035 ns       230743
BenchInsertPod<sorted_vector<Pod>>/512                             52300 ns        52292 ns        13377
BenchInsertPod<sorted_vector<Pod>>/1024                           161048 ns       161034 ns         4347
BenchInsertPodMap<sorted_vector_map<uint64_t, PodMap>>/8             273 ns          273 ns      2554279
BenchInsertPodMap<sorted_vector_map<uint64_t, PodMap>>/64           3034 ns         3034 ns       230546
BenchInsertPodMap<sorted_vector_map<uint64_t, PodMap>>/512         51880 ns        51875 ns        13480
BenchInsertPodMap<sorted_vector_map<uint64_t, PodMap>>/1024       160209 ns       160183 ns         4371
BenchInsertPod<std::set<Pod>>/1                                     33.6 ns         33.6 ns     20754334
BenchInsertPod<std::set<Pod>>/8                                      457 ns          457 ns      1533344
BenchInsertPod<std::set<Pod>>/64                                    5907 ns         5907 ns       118276
BenchInsertPod<std::set<Pod>>/512                                  55343 ns        55335 ns        12664
BenchInsertPod<std::set<Pod>>/1024                                115504 ns       115493 ns         6057
